DFMOMO	Developments in Financial Markets and Open Market Operations
ESRAF	Establishment of Standing Repurchase Agreement Facilities
SRAFR	Standing Repurchase Agreement Facility Resolution
SFRAR	Standing FIMA Repurchase Agreement Resolution
DAP	Discussion of Asset Purchases
SRES	Staff Review of the Economic Situation
SRFS	Staff Review of the Financial Situation
SEO	Staff Economic Outlook
PVCCEO	Participants' Views on Current Economic Conditions and the Economic Outlook
CPA	Committee Policy Action
