id,label_code,label,source
2026-06-17_presconf#225,1,positive,agree
2020-11-05_presconf#261,0,neutral,agree
2025-07-30_presconf#336,1,positive,resolved
2011-06-22_presconf#135,0,neutral,resolved
2013-12-18_presconf#128,0,neutral,agree
2017-03-15_presconf#127,0,neutral,agree
2016-06-15_presconf#20,2,negative,resolved
2014-09-17_presconf#16,2,negative,agree
2021-12-15_presconf#378,0,neutral,agree
2020-07-29_presconf#207,0,neutral,resolved
2019-10-30_presconf#36,0,neutral,resolved
2015-06-17_presconf#107,0,neutral,resolved
2014-12-17_presconf#79,0,neutral,agree
2023-05-03_presconf#159,0,neutral,agree
2016-03-16_presconf#3,1,positive,resolved
2021-04-28_presconf#353,0,neutral,resolved
2026-06-17_presconf#192,2,negative,agree
2026-06-17_presconf#117,0,neutral,agree
2015-09-17_presconf#150,0,neutral,agree
2021-06-16_presconf#325,0,neutral,agree
2022-01-26_presconf#135,0,neutral,resolved
2025-01-29_presconf#128,0,neutral,resolved
2026-06-17_presconf#44,1,positive,agree
2012-01-25_presconf#202,2,negative,agree
2016-12-14_presconf#110,2,negative,agree
2014-12-17_presconf#61,0,neutral,agree
2017-03-15_presconf#9,1,positive,agree
2026-06-17_presconf#166,0,neutral,resolved
2021-06-16_presconf#338,0,neutral,resolved
2016-06-15_presconf#148,1,positive,resolved
2021-07-28_presconf#220,0,neutral,agree
2024-07-31_presconf#261,0,neutral,resolved
2022-01-26_presconf#107,0,neutral,resolved
2026-03-18_presconf#233,0,neutral,resolved
2026-06-17_presconf#213,0,neutral,agree
2023-06-14_presconf#87,0,neutral,resolved
2013-12-18_presconf#241,0,neutral,resolved
2012-01-25_presconf#162,0,neutral,resolved
2020-09-16_presconf#293,0,neutral,resolved
2017-09-20_presconf#188,1,positive,agree
2011-04-27_presconf#112,0,neutral,agree
2026-06-17_presconf#33,0,neutral,resolved
2024-09-18_presconf#26,0,neutral,resolved
2020-11-05_presconf#229,1,positive,agree
2026-06-17_presconf#131,0,neutral,agree
2012-01-25_presconf#59,0,neutral,resolved
