id,date,source,title,description,url,verdict,reason
1,2026-08-23,finance.yahoo.com,"Robert Kiyosaki Bets on Gold, Silver, and Bitcoin Amid “More Fake Dollars”","Robert Kiyosaki bets on gold, silver, and Bitcoin amid",https://finance.yahoo.com/markets/commodities/articles/robert-kiyosaki-bets-gold-silver-114000856.html,0,개인 논평·귀금속/암호화폐
2,2026-08-23,mottcapitalmanagement.com,Kevin Warsh’s Jackson Hole Speech Puts Bond Yields on Notice,"Kevin Warsh’s Jackson Hole speech puts bond yields on notice as rising term premiums, global rates, and BOJ tightening expectations pressure the long end.",https://mottcapitalmanagement.com/kevin-warsh-jackson-hole-bond-yields/,2,연준 의장 잭슨홀 연설 — 연준 커뮤니케이션 자체
3,2026-08-19,dailyreckoning.com,Gold Smells a Rat,Miners pop 9% as the world digests this...,https://dailyreckoning.com/gold-smells-a-rat/,0,금·광산주 시황
4,2026-08-24,finance.yahoo.com,"Gold, silver rally off ugly crash, but investors remain on edge","Precious metals are surging off summer lows, but inflation risks and upcoming Fed cues keep the rally tentative.",https://finance.yahoo.com/markets/commodities/articles/gold-silver-rally-off-ugly-013700131.html,1,"귀금속 시황, 연준은 배경 언급"
5,2026-08-19,economictimes.indiatimes.com,Global Market Today: Asian equities decline as chip selloff extends,Asian stock markets witnessed a downturn as semiconductor shares plummeted sharply. The rise in bond yields and escalating oil prices contributed to a bearish market sentiment. Investors pulled away f,https://economictimes.indiatimes.com/markets/us-stocks/news/global-market-today-asian-equities-decline-as-chip-selloff-extends/articleshow/133334774.cms,0,아시아 증시·반도체 시황
6,2026-08-25,zerohedge.com,Central Banking: The Scourge Of Civilization,"ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",https://www.zerohedge.com/economics/central-banking-scourge-civilization,1,중앙은행 일반 논평(현행 정책 아님)
7,2026-08-18,finance.yahoo.com,The bond market is daring the Fed to hike: Chart of the Day,Wall Street is backing away from a September Fed hike. The bond market is going the other way.,https://finance.yahoo.com/markets/article/the-bond-market-is-daring-the-fed-to-hike-chart-of-the-day-100000601.html,2,연준 인상 기대를 정면으로 다룸
8,2026-08-24,zerohedge.com,"Futures Slide Ahead Of ""Pivotal Week"" With Nvidia Earnings. Warsh Speech On Deck","ZeroHedge - On a long enough timeline, the survival rate for everyone drops to zero",https://www.zerohedge.com/markets/futures-slide-ahead-pivotal-week-nvidia-earnings-warsh-speech-deck,1,"주간 시장 프리뷰, 의장 연설 예고"
9,2026-08-24,realclearmarkets.com,The Fed Must Be Held Tight To a Market-Price Stability Rule,"Markets treated the federal government’s latest inflation report as good news. Consumer prices rose 0.1% in July, bringing annual inflation down to 3.4%. Core inflation, which excludes food and",https://www.realclearmarkets.com/articles/2026/08/24/the_fed_must_be_held_tight_to_a_market-price_stability_rule_1201526.html,2,연준 정책 준칙에 대한 논평
10,2026-08-24,yahoo.com,Take Five: Six months of war,"Aug 21 (Reuters) - The world's top central bank chiefs gather in Jackson Hole this week against a jittery backdrop, half a year into the Iran war and with bond markets rattled by a selloff in long-",https://finance.yahoo.com/economy/policy/articles/five-six-months-war-093306852.html,1,잭슨홀 프리뷰 + 지정학 혼재
