id,label_code,label,source
2010-06-23_statement#5#finbert-finetuned,2,negative,resolved
2016-04-27_statement#7#finbert-finetuned,1,positive,agree
2011-01-26_statement#7#finbert-finetuned,2,negative,agree
2020-06-10_statement#11#finbert-finetuned,0,neutral,resolved
2020-06-10_statement#3#finbert-finetuned,0,neutral,resolved
2005-02-02_statement#5#finbert-finetuned,0,neutral,resolved
2012-04-25_statement#8#finbert-finetuned,1,positive,agree
2012-03-13_statement#1#finbert-finetuned,1,positive,agree
2011-08-09_statement#5#finbert-finetuned,2,negative,agree
2007-06-28_statement#7#finbert-finetuned,0,neutral,resolved
2014-09-17_statement#5#finbert-finetuned,0,neutral,resolved
2010-11-03_statement#7#finbert-finetuned,2,negative,agree
2008-03-10_statement#3#finbert-finetuned,0,neutral,agree
2007-12-11_statement#4#finbert-finetuned,2,negative,agree
2005-09-20_statement#2#finbert-finetuned,2,negative,resolved
2001-05-15_statement#8#finbert-finetuned,1,positive,agree
2015-04-29_statement#9#finbert-finetuned,0,neutral,agree
2017-12-13_statement#11#finbert-finetuned,1,positive,resolved
2008-12-16_statement#0#finbert-finetuned,0,neutral,agree
2006-06-29_statement#5#finbert-finetuned,2,negative,agree
2014-04-30_statement#24#finbert-finetuned,0,neutral,agree
2016-01-27_statement#17#finbert-finetuned,1,positive,agree
2012-01-25_statement#4#finbert-finetuned,0,neutral,resolved
2007-10-31_statement#6#finbert-finetuned,0,neutral,resolved
2021-01-27_statement#1#finbert-finetuned,2,negative,agree
2017-03-15_statement#1#finbert-finetuned,1,positive,resolved
2007-06-28_statement#5#finbert-finetuned,0,neutral,resolved
2013-12-18_statement#18#finbert-finetuned,0,neutral,resolved
2000-10-03_statement#3#finbert-finetuned,2,negative,agree
2011-01-26_statement#5#finbert-finetuned,1,positive,agree
2015-03-18_statement#5#finbert-finetuned,1,positive,agree
2002-09-24_statement#4#finbert-finetuned,2,negative,resolved
2013-06-19_statement#12#finbert-finetuned,0,neutral,agree
2020-09-16_statement#2#finbert-finetuned,0,neutral,resolved
2009-09-23_statement#8#finbert-finetuned,0,neutral,resolved
2009-12-16_statement#15#finbert-finetuned,0,neutral,agree
2007-09-18_statement#7#finbert-finetuned,0,neutral,agree
2020-04-29_statement#5#finbert-finetuned,2,negative,resolved
2017-06-14_statement#13#finbert-finetuned,0,neutral,agree
2001-01-31_statement#2#finbert-finetuned,2,negative,agree
2008-04-30_statement#3#finbert-finetuned,2,negative,agree
2017-02-01_statement#16#finbert-finetuned,0,neutral,agree
2009-03-18_statement#0#finbert-finetuned,2,negative,agree
2016-01-27_statement#2#finbert-finetuned,2,negative,agree
2011-11-02_statement#9#finbert-finetuned,1,positive,agree
2018-05-02_statement#2#finbert-finetuned,0,neutral,agree
2013-10-30_statement#16#finbert-finetuned,0,neutral,agree
2000-03-21_statement#5#finbert-finetuned,0,neutral,agree
2014-03-19_statement#0#finbert-finetuned,2,negative,resolved
2014-03-19_statement#5#finbert-finetuned,0,neutral,resolved
2011-04-27_statement#2#finbert-finetuned,2,negative,agree
2021-03-17_statement#8#finbert-finetuned,0,neutral,resolved
2010-04-28_statement#3#finbert-finetuned,2,negative,agree
2006-09-20_statement#1#finbert-finetuned,2,negative,agree
2014-06-18_statement#8#finbert-finetuned,0,neutral,resolved
2012-12-12_statement#1#finbert-finetuned,2,negative,agree
2021-01-27_statement#7#finbert-finetuned,0,neutral,agree
2016-09-21_statement#11#finbert-finetuned,0,neutral,agree
2010-12-14_statement#1#finbert-finetuned,2,negative,agree
2015-04-29_statement#0#finbert-finetuned,2,negative,resolved
2005-11-01_statement#3#finbert-finetuned,0,neutral,resolved
2019-06-19_statement#10#finbert-finetuned,0,neutral,agree
2004-08-10_statement#9#finbert-finetuned,0,neutral,agree
2007-03-21_statement#3#finbert-finetuned,2,negative,agree
2000-02-02_statement#4#finbert-finetuned,2,negative,resolved
2012-06-20_statement#5#finbert-finetuned,1,positive,agree
2005-09-20_statement#1#finbert-finetuned,0,neutral,resolved
2019-07-31_statement#7#finbert-finetuned,1,positive,resolved
2020-03-15_statement#19#finbert-finetuned,0,neutral,agree
2005-11-01_statement#6#finbert-finetuned,0,neutral,resolved
2008-10-29_statement#0#finbert-finetuned,0,neutral,agree
2014-04-30_statement#16#finbert-finetuned,0,neutral,agree
2002-06-26_statement#1#finbert-finetuned,1,positive,agree
2008-01-21_statement#0#finbert-finetuned,0,neutral,agree
2013-07-31_statement#3#finbert-finetuned,0,neutral,resolved
2015-01-28_statement#12#finbert-finetuned,0,neutral,agree
2003-09-16_statement#3#finbert-finetuned,0,neutral,resolved
2016-12-14_statement#5#finbert-finetuned,0,neutral,agree
2011-09-21_statement#7#finbert-finetuned,0,neutral,agree
2011-09-21_statement#12#finbert-finetuned,0,neutral,agree
2003-10-28_statement#4#finbert-finetuned,0,neutral,agree
2020-07-29_statement#14#finbert-finetuned,0,neutral,agree
2019-01-30_statement#2#finbert-finetuned,1,positive,resolved
2017-05-03_statement#1#finbert-finetuned,1,positive,agree
2013-05-01_statement#1#finbert-finetuned,0,neutral,resolved
2001-03-20_statement#2#finbert-finetuned,2,negative,agree
2020-04-29_statement#11#finbert-finetuned,0,neutral,agree
2008-03-10_statement#0#finbert-finetuned,0,neutral,agree
2018-06-13_statement#1#finbert-finetuned,1,positive,agree
2014-10-29_statement#9#finbert-finetuned,0,neutral,resolved
2017-02-01_statement#4#finbert-finetuned,0,neutral,resolved
2002-11-06_statement#5#finbert-finetuned,0,neutral,resolved
2010-06-23_statement#7#finbert-finetuned,0,neutral,resolved
2011-04-27_statement#12#finbert-finetuned,0,neutral,agree
2009-04-29_statement#3#finbert-finetuned,2,negative,agree
2014-03-19_statement#14#finbert-finetuned,0,neutral,agree
2000-02-02_statement#2#finbert-finetuned,2,negative,agree
2008-04-30_statement#6#finbert-finetuned,2,negative,agree
2017-12-13_statement#2#finbert-finetuned,1,positive,resolved
2010-04-28_statement#4#finbert-finetuned,0,neutral,resolved
2014-07-30_statement#18#finbert-finetuned,0,neutral,agree
2009-01-28_statement#7#finbert-finetuned,2,negative,agree
2014-06-18_statement#4#finbert-finetuned,0,neutral,resolved
2015-06-17_statement#18#finbert-finetuned,0,neutral,agree
2017-11-01_statement#3#finbert-finetuned,0,neutral,agree
2010-08-10_statement#9#finbert-finetuned,0,neutral,agree
2001-03-20_statement#5#finbert-finetuned,2,negative,agree
2019-01-30_statement#10#finbert-finetuned,0,neutral,agree
2001-05-15_statement#3#finbert-finetuned,0,neutral,resolved
2010-08-10_statement#4#finbert-finetuned,2,negative,agree
2001-04-18_statement#4#finbert-finetuned,0,neutral,resolved
2000-03-21_statement#3#finbert-finetuned,2,negative,agree
2011-08-09_statement#2#finbert-finetuned,2,negative,agree
2009-08-12_statement#6#finbert-finetuned,2,negative,agree
2010-12-14_statement#7#finbert-finetuned,2,negative,agree
2013-05-01_statement#19#finbert-finetuned,0,neutral,agree
2014-06-18_statement#12#finbert-finetuned,0,neutral,agree
2019-10-30_statement#9#finbert-finetuned,0,neutral,agree
2011-03-15_statement#7#finbert-finetuned,2,negative,agree
2007-08-07_statement#5#finbert-finetuned,2,negative,agree
2013-06-19_statement#10#finbert-finetuned,0,neutral,agree
2003-05-06_statement#5#finbert-finetuned,2,negative,agree
2016-04-27_statement#3#finbert-finetuned,1,positive,agree
2012-06-20_statement#9#finbert-finetuned,2,negative,agree
